Alg.inter_corNeg	60.92	-312.96
Alg.union_corNeg	123.40	-379.76
Alg.guard	126.54	-234.39
Alg.guard_map	263.42	-462.94
Alg.cond	118.86	-237.11
Alg.cond_eq_union	205.43	-383.17
Alg.cond_spec	251.43	-453.31
Alg.powerRel	-33.36	-162.55
Alg.powerRel_eps_lax	1.85	-218.08
Alg.powerRel_term1_cancel	-15.31	-224.82
Alg.powerRel_mono	-26.18	-183.68
Alg.powerRel_id	41.11	-283.87
Alg.powerRel_map	80.99	-360.47
Alg.powerRel_comp_le	12.53	-248.05
Alg.powerRel_comp	277.87	-476.23
Alg.InitialAlgebra	-73.54	-77.79
Alg.InitialAlgebra.t	-57.37	-100.69
Alg.InitialAlgebra.α	-43.72	-115.71
Alg.InitialAlgebra.α_map	-51.36	-133.51
Alg.InitialAlgebra.cata	-49.64	-122.04
Alg.InitialAlgebra.cata_map	-42.13	-118.77
Alg.InitialAlgebra.cata_comm	-48.67	-136.90
Alg.InitialAlgebra.cata_unique	-42.57	-130.90
Alg.relCata	-18.63	-177.45
Alg.relCata_unfold	-22.99	-202.26
Alg.relCata_UP	12.23	-264.80
Alg.relCata_cancel	-30.29	-139.24
Alg.relCata_map	-39.02	-159.67
Alg.A_relCata	-16.50	-198.45
Alg.TabularUnitaryUnguardedDivisionPowerAllegory	-276.67	416.59
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.toUnguardedPowerAllegory	14.80	-235.21
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.toTabularUnitaryDivisionAllegory	-24.43	-241.15
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps_thick	-16.26	-181.94
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps_straight	-0.64	-184.81
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps	-89.40	-124.33
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps_thick_all	-82.54	-118.99
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.powerObj	-141.48	69.63
Alg.cup	12.81	-280.89
Alg.cup_is_map	33.14	-293.72
Alg.A_union	159.00	-390.63
Alg.cap	12.65	-281.32
Alg.cap_is_map	32.76	-293.61
Alg.A_inter	117.13	-369.50
Alg.cpMap	-58.89	-121.37
Alg.cpMap_is_map	-28.27	-175.91
Alg.RelSet.ListRel.dList	-201.83	190.06
Alg.RelSet.ListRel.inlistP	-215.71	176.31
Alg.RelSet.ListRel.inlist	-222.75	209.35
Alg.RelSet.ListRel.Perm	-204.29	188.20
Alg.RelSet.ListRel.Perm.refl	-213.46	171.60
Alg.RelSet.ListRel.Perm.symm	-207.36	177.38
Alg.RelSet.ListRel.perm	-217.47	219.08
Alg.RelSet.ListRel.perm_reflexive	-151.21	-1.05
Alg.RelSet.ListRel.perm_symmetric	-140.95	-33.37
Alg.RelSet.ListRel.perm_transitive	-139.13	9.97
Alg.RelSet.ListRel.prefixP	-215.74	175.55
Alg.RelSet.ListRel.prefixR	-226.51	225.23
Alg.RelSet.ListRel.prefixP.refl	-203.22	186.67
Alg.RelSet.ListRel.prefixP.trans	-215.35	174.45
Alg.RelSet.ListRel.prefix_reflexive	-145.76	5.06
Alg.RelSet.ListRel.prefix_transitive	-139.66	11.06
Alg.RelSet.ListRel.subseqP	-216.05	175.22
Alg.RelSet.ListRel.subseq	-226.16	224.14
Alg.RelSet.ListRel.subseqP.refl	-203.21	185.69
Alg.RelSet.ListRel.subseqP.weaken	-215.11	173.69
Alg.RelSet.ListRel.subseqP.of_cons	-209.02	179.36
Alg.RelSet.ListRel.subseq_reflexive	-140.08	10.74
Alg.RelSet.ListRel.orderedP	-214.72	171.72
Alg.RelSet.ListRel.ordered	-225.27	220.31
Alg.RelSet.ListRel.ordered_coreflexive	-140.02	10.30
Alg.RelSet.ListRel.cappend	-216.52	174.02
Alg.RelSet.ListRel.cconcat	-209.66	179.25
Alg.RelSet.ListRel.isNonempty	-204.33	186.13
Alg.RelSet.ListRel.allNonempty	-215.80	173.14
Alg.RelSet.ListRel.partition	-205.55	161.19
Alg.LaxNatural	-365.21	413.08
Alg.eps_lax_natural	-57.54	-119.06
Alg.laxNatural_iff_strict_on_maps	203.32	-481.68
Alg.RelSet.Digits.Digit	-343.47	413.96
Alg.RelSet.Digits.DigitPos	-355.59	405.03
Alg.RelSet.Digits.Decimal	-349.72	406.43
Alg.RelSet.Digits.dDigit	-219.58	217.77
Alg.RelSet.Digits.dDigitPos	-233.02	215.52
Alg.RelSet.Digits.dDec	-227.36	224.80
Alg.RelSet.Digits.entire_total	-149.67	20.60
Alg.RelSet.Digits.simple_uniq	-153.47	-1.69
Alg.RelSet.Digits.Fobj	-220.95	187.03
Alg.RelSet.Digits.Fmap	-208.95	170.37
Alg.RelSet.Digits.Fmap_ll	-226.55	196.19
Alg.RelSet.Digits.Fmap_rr	-220.45	184.19
Alg.RelSet.Digits.Fmap_lr	-214.36	189.86
Alg.RelSet.Digits.Fmap_rl	-226.26	195.64
Alg.RelSet.Digits.F	-136.75	-44.19
Alg.RelSet.Digits.con	-199.73	150.77
Alg.RelSet.Digits.cataFold	-214.82	165.31
Alg.RelSet.Digits.cataFold_wrap	-205.66	145.54
Alg.RelSet.Digits.cataFold_snoc	-199.56	151.54
Alg.RelSet.Digits.cataFold_total	-157.82	15.44
Alg.RelSet.Digits.cataFold_functional	-151.73	3.44
Alg.RelSet.Digits.cataFold_map	-130.96	-38.84
Alg.RelSet.Digits.decInitial	-111.34	-108.17
Alg.RelSet.Digits.cataR	-217.57	168.10
Alg.RelSet.Digits.algWrap	-206.66	164.57
Alg.RelSet.Digits.algSnoc	-221.31	174.51
Alg.RelSet.Digits.wrapR	-180.07	28.73
Alg.RelSet.Digits.snocR	-172.33	32.98
Alg.RelSet.Digits.rprodMap	-368.39	415.37
Alg.RelSet.Digits.cata_converse_eq	-140.26	-45.94
Alg.RelSet.Digits.dNat	-365.61	409.26
Alg.RelSet.Digits.con_eo	-220.74	172.00
Alg.RelSet.Digits.algEO	-180.60	29.72
Alg.RelSet.Digits.val	-218.52	207.60
Alg.RelSet.Digits.val_converse_eq	-158.17	13.58
Alg.RelSet	-350.67	408.96
Alg.RelSet.carrier	-344.80	414.96
Alg.RelSet.instCat	-359.22	418.00
Alg.RelSet.comp_apply	-353.34	404.91
Alg.RelSet.id_apply	-346.37	410.91
Alg.RelSet.hom_ext	-355.54	413.95
Alg.RelSet.instAllegory	-167.27	24.46
Alg.RelSet.le_iff	-136.55	-33.25
Alg.RelSet.graph	-356.69	419.98
Alg.RelSet.graph_simple	-141.15	-41.22
Alg.RelSet.graph_entire	-130.79	-62.48
Alg.RelSet.graph_map	-151.35	-23.20
Alg.RelSet.instDistributiveAllegory	-142.51	-39.69
Alg.RelSet.instDivisionAllegory	-141.13	4.63
Alg.RelSet.instLocallyCompleteDistributiveAllegory	-144.71	-33.93
Alg.RelSet.pow	-351.56	406.99
Alg.RelSet.epsRel	-199.31	205.53
Alg.RelSet.classifier	-177.50	39.64
Alg.RelSet.classifier_comp_eps	-151.26	11.77
Alg.RelSet.instPowerAllegory	70.73	-247.83
Alg.RelSet.instUnguardedPowerAllegory	-6.86	-149.65
Alg.RelSet.instUnguardedPowerLCDA	55.62	-259.52
Alg.RelSet.instTabularAllegory	163.75	-479.27
Alg.RelSet.instUnitaryAllegory	70.06	-271.39
Alg.RelSet.instTabularUnitaryDivisionAllegory	269.82	-486.92
Alg.Monotonic	-344.84	411.14
Alg.mu	-236.87	255.21
Alg.nu	-110.67	-38.04
Alg.mu_le_of_prefixed	-115.09	8.58
Alg.mu_prefixed	-86.27	-48.27
Alg.mu_postfixed	-79.73	-43.58
Alg.mu_fixed	-96.63	-26.68
Alg.mu_le_of_fixed	-105.80	-23.30
Alg.le_nu_of_postfixed	-127.19	20.80
Alg.nu_postfixed	-98.54	-34.45
Alg.nu_prefixed	-138.47	53.55
Alg.nu_fixed	-132.93	60.87
Alg.le_nu_of_fixed	-202.48	200.83
Alg.mu_le_mu	-105.78	-24.40
Alg.mu_congr	-119.62	15.32
Alg.UnguardedPowerLCDA	-322.96	407.64
Alg.UnguardedPowerLCDA.toLocallyCompleteDistributiveAllegory	-335.08	412.65
Alg.UnguardedPowerLCDA.toUnguardedPowerAllegory	3.39	-143.42
Alg.UnguardedPowerLCDA.powerObj	-323.23	407.64
Alg.UnguardedPowerLCDA.eps	-142.44	49.29
Alg.UnguardedPowerLCDA.div_comp_le	-136.90	55.62
Alg.UnguardedPowerLCDA.div	-133.87	46.79
Alg.UnguardedPowerLCDA.eps_thick_all	-140.52	46.77
Alg.UnguardedPowerLCDA.eps_thick	-36.77	-100.28
Alg.UnguardedPowerLCDA.le_div	-130.85	43.07
Alg.UnguardedPowerLCDA.eps_straight	-39.19	-84.61
Alg.UnguardedPowerLCDA.toDivisionLCDA	-108.75	-7.44
Alg.InitialAlgebra.alphaInv	-28.86	-159.25
Alg.InitialAlgebra.alphaInv_alpha	80.43	-314.73
Alg.InitialAlgebra.alpha_alphaInv	-22.41	-199.25
Alg.InitialAlgebra.alphaInv_eq_recip	-30.66	-153.99
Alg.InitialAlgebra.recip_alpha_alpha	-45.08	-127.96
Alg.InitialAlgebra.alpha_alpha_recip	-39.21	-121.74
Alg.cataBody_monotonic	-59.72	-112.28
Alg.eq_relCata_iff_fixed	-86.62	-86.35
Alg.relCata_eq_mu	-49.44	-121.85
Alg.relCata_eq_nu	-64.80	-108.01
Alg.relCata_le_of_prefixed	-53.06	-133.32
Alg.le_relCata_of_postfixed	-71.60	-95.90
Alg.relCata_le_comp	-56.53	-166.91
Alg.comp_le_relCata	-69.20	-159.60
Alg.relCata_le_relCata	-79.75	-83.75
Alg.relCata_mono	-81.54	-82.39
Alg.iterZ	-321.49	381.35
Alg.Continuous	-111.54	-25.61
Alg.iterZ_ascending	33.81	-246.06
Alg.kleene	46.54	-275.31
Alg.mu_le_of_closed	47.05	-259.90
Alg.MonotonicHom	-309.68	403.71
Alg.mu_rolling	-86.31	-54.60
Alg.mu_diagonal	-68.61	-66.12
Alg.Difunctional	-309.84	403.49
Alg.difunClosure	-127.96	9.45
Alg.difunClosure_body_monotonic	-14.90	-208.33
Alg.le_difunClosure	16.81	-173.04
Alg.difunClosure_difunctional	4.46	-165.17
Alg.difunClosure_le	53.26	-177.13
Alg.relCata_alpha	-72.90	-101.32
Alg.hyloBody_monotonic	-116.56	-34.23
Alg.hylo_le_of_prefixed	7.23	-258.69
Alg.hylo_eq_mu	-18.43	-204.63
Alg.hylo_fixed	-48.73	-165.17
Alg.mu_simple	15.72	-260.00
Alg.hylo_simple	-43.44	-142.11
Alg.hylo_body_coprod_decompose	170.30	-311.77
Alg.hylo_eq_mu_coprod	124.50	-253.32
Alg.RelSet.FastExp.Bit	-337.55	419.53
Alg.RelSet.FastExp.dNat	-320.77	407.53
Alg.RelSet.FastExp.dBin	-216.47	188.76
Alg.RelSet.FastExp.I	-121.15	6.67
Alg.RelSet.FastExp.con_conv	-211.01	149.59
Alg.RelSet.FastExp.convAlg	-171.41	29.58
Alg.RelSet.FastExp.con_exp	-198.93	161.48
Alg.RelSet.FastExp.expAlg	-177.34	23.25
Alg.RelSet.FastExp.con_mod	-205.18	155.04
Alg.RelSet.FastExp.modAlg	-165.26	34.92
Alg.RelSet.FastExp.exp	-108.52	-84.48
Alg.RelSet.FastExp.modFast	-102.64	-78.48
Alg.RelSet.FastExp.exp_eq_mu	-103.67	-46.20
Alg.RelSet.FastExp.mod_eq_mu	-115.79	-58.42
Alg.Inductive	-57.15	-90.41
Alg.zero_inductive	125.32	-354.17
Alg.inductive_of_comp_le	-8.33	-220.23
Alg.inductive_of_le	-83.47	-41.69
Alg.inductive_inter	-77.37	-35.91
Alg.inductive_iff_unique_solution	-19.87	-174.58
Alg.transClosure	-54.39	-95.66
Alg.transClosure_monotonic	-42.83	-97.44
Alg.transClosure_fixed	-63.82	-89.73
Alg.le_transClosure	22.74	-181.82
Alg.transClosure_trans	115.98	-294.17
Alg.inductive_transClosure_iff	93.13	-252.64
Alg.WellFoundedRel	-91.16	-26.80
Alg.wellFoundedRel_of_inductive	53.97	-295.49
Alg.inductive_of_wellFoundedRel	105.35	-365.07
Alg.wellFoundedRel_conjugate	76.08	-319.00
Alg.inductive_conjugate	-74.28	-58.68
Alg.LaxMembership	-350.47	368.01
Alg.LaxMembership.mem	-236.98	259.50
Alg.LaxMembership.lax	-229.79	259.26
Alg.LaxMembership.laxNatural	-175.02	21.95
Alg.LargestLax	-345.30	373.69
Alg.largestLax_unique	-229.40	254.55
Alg.idMembership	-232.22	231.71
Alg.compMembership	-235.54	248.44
Alg.HyloUnique	-231.19	264.51
Alg.HyloEntire	-242.99	252.51
Alg.thm64_forward	-69.28	-129.05
Alg.thm64_backward	60.96	-288.58
Alg.thm64	-88.12	-93.88
Alg.RelSet.Sort.dList	-211.11	179.80
Alg.RelSet.Sort.coref_recip	-135.05	-34.70
Alg.RelSet.Sort.sortAlg	-201.04	121.03
Alg.RelSet.Sort.sort	-151.38	0.58
Alg.RelSet.Sort.sort_recursion	-141.56	-0.86
Alg.RelSet.Sort.selection_sort_correct	-19.46	-222.37
Alg.RelSet.Sort.perm_mem	-210.00	169.07
Alg.RelSet.Sort.lb	-205.76	181.09
Alg.RelSet.Sort.selectC	-211.43	161.15
Alg.RelSet.Sort.oalgC	-194.50	124.08
Alg.RelSet.Sort.oalg_coref	-196.18	146.17
Alg.RelSet.Sort.hfus_concrete	-149.84	-0.99
Alg.RelSet.Sort.selection_sort_correct_concrete	-143.96	-11.13
Alg.star	-48.86	-93.81
Alg.star_body_monotonic	-55.51	-95.36
Alg.star_unfold	-53.58	-96.85
Alg.id_le_star	30.79	-184.79
Alg.comp_star_le	17.25	-175.72
Alg.le_star	-67.42	-68.50
Alg.star_trans	115.49	-278.28
Alg.star_le_of_preorder	59.68	-210.43
Alg.star_UP	-70.20	-62.47
Alg.star_mono	-55.13	-72.90
Alg.star_eq_mu'	169.55	-366.33
Alg.star_comp_le	47.11	-232.72
Alg.comp_star_eq_mu	181.08	-371.78
Alg.star_comp_eq_mu	153.74	-338.52
Alg.star_union_ge	71.59	-256.25
Alg.theta	-24.79	-141.65
Alg.theta_zero_left	56.36	-291.22
Alg.theta_zero_right	174.35	-395.62
Alg.theta_step	95.92	-304.23
Alg.RelSet.CL.ConsList	-337.92	418.55
Alg.RelSet.CL.dCL	-213.70	175.10
Alg.RelSet.CL.dL	-326.07	412.44
Alg.RelSet.CL.dE	-338.19	424.35
Alg.RelSet.CL.entire_total	-158.68	10.66
Alg.RelSet.CL.simple_uniq	-144.37	6.37
Alg.RelSet.CL.Fobj	-341.19	382.31
Alg.RelSet.CL.Fmap	-209.85	167.33
Alg.RelSet.CL.Fmap_ll	-226.64	239.57
Alg.RelSet.CL.Fmap_rr	-238.33	245.13
Alg.RelSet.CL.Fmap_lr	-232.45	233.13
Alg.RelSet.CL.Fmap_rl	-226.58	239.13
Alg.RelSet.CL.F	-144.66	-36.23
Alg.RelSet.CL.F_preservesRecip	-116.67	-104.18
Alg.RelSet.CL.con	-187.32	118.38
Alg.RelSet.CL.cataFold	-208.42	148.90
Alg.RelSet.CL.cataFold_wrap	-199.05	125.73
Alg.RelSet.CL.cataFold_cons	-192.95	131.73
Alg.RelSet.CL.cataFold_total	-158.98	8.44
Alg.RelSet.CL.cataFold_functional	-153.11	-3.78
Alg.RelSet.CL.cataFold_map	-131.91	-47.16
Alg.RelSet.CL.initial	-111.95	-114.40
